Sample,CO2raw,CO2_ADCv,CO2_AOUTv,ALCraw,ALC_ADCv,ALC_AOUTv
27,334,0.269,0.391,462,0.372,0.541
28,338,0.272,0.396,450,0.363,0.527
29,336,0.271,0.394,451,0.363,0.529
30,338,0.272,0.396,452,0.364,0.530
31,336,0.271,0.394,458,0.369,0.537
32,336,0.271,0.394,457,0.368,0.536
33,336,0.271,0.394,455,0.367,0.533
34,335,0.270,0.393,457,0.368,0.536
35,337,0.272,0.395,459,0.370,0.538
36,338,0.272,0.396,454,0.366,0.532
37,339,0.273,0.397,476,0.383,0.558
38,338,0.272,0.396,454,0.366,0.532
39,336,0.271,0.394,452,0.364,0.530
40,331,0.267,0.388,455,0.367,0.533
41,332,0.267,0.389,453,0.365,0.531
42,333,0.268,0.390,451,0.363,0.529
43,336,0.271,0.394,457,0.368,0.536
44,336,0.271,0.394,452,0.364,0.530
45,337,0.272,0.395,462,0.372,0.541
46,333,0.268,0.390,446,0.359,0.523
47,332,0.267,0.389,450,0.363,0.527
48,335,0.270,0.393,450,0.363,0.527
49,344,0.277,0.403,449,0.362,0.526
50,334,0.269,0.391,455,0.367,0.533
51,332,0.267,0.389,452,0.364,0.530
52,337,0.272,0.395,450,0.363,0.527
53,334,0.269,0.391,456,0.367,0.534
54,334,0.269,0.391,456,0.367,0.534
55,336,0.271,0.394,459,0.370,0.538
56,336,0.271,0.394,460,0.371,0.539
57,333,0.268,0.390,459,0.370,0.538
58,332,0.267,0.389,458,0.369,0.537
59,336,0.271,0.394,454,0.366,0.532
60,336,0.271,0.394,462,0.372,0.541
61,337,0.272,0.395,450,0.363,0.527
62,335,0.270,0.393,452,0.364,0.530
63,330,0.266,0.387,451,0.363,0.529
64,336,0.271,0.394,459,0.370,0.538
65,334,0.269,0.391,450,0.363,0.527
66,332,0.267,0.389,456,0.367,0.534
67,335,0.270,0.393,449,0.362,0.526
68,334,0.269,0.391,452,0.364,0.530
69,338,0.272,0.396,457,0.368,0.536
70,337,0.272,0.395,457,0.368,0.536
71,335,0.270,0.393,448,0.361,0.525
72,338,0.272,0.396,447,0.360,0.524
73,333,0.268,0.390,456,0.367,0.534
74,335,0.270,0.393,454,0.366,0.532
75,334,0.269,0.391,454,0.366,0.532
76,337,0.272,0.395,451,0.363,0.529
77,332,0.267,0.389,453,0.365,0.531
78,336,0.271,0.394,455,0.367,0.533
79,339,0.273,0.397,451,0.363,0.529
80,335,0.270,0.393,454,0.366,0.532
81,334,0.269,0.391,449,0.362,0.526
82,333,0.268,0.390,456,0.367,0.534
83,335,0.270,0.393,459,0.370,0.538
84,337,0.272,0.395,452,0.364,0.530
85,330,0.266,0.387,450,0.363,0.527
86,334,0.269,0.391,455,0.367,0.533
87,336,0.271,0.394,447,0.360,0.524
88,332,0.267,0.389,457,0.368,0.536
89,337,0.272,0.395,456,0.367,0.534
90,331,0.267,0.388,456,0.367,0.534
91,327,0.263,0.383,454,0.366,0.532
