Sample,CO2raw,CO2_ADCv,CO2_AOUTv,ALCraw,ALC_ADCv,ALC_AOUTv,Type,ratio co2/ethanol
3084,1923,1.549,2.254,2495,2.01,2.924,activatedcharcoal,0.770861833
3085,1915,1.543,2.244,2495,2.01,2.924,activatedcharcoal,0.76744186
3086,1917,1.544,2.246,2495,2.01,2.924,activatedcharcoal,0.768125855
3087,1923,1.549,2.254,2487,2.004,2.914,activatedcharcoal,0.773507207
3088,1917,1.544,2.246,2495,2.01,2.924,activatedcharcoal,0.768125855
3089,1919,1.546,2.249,2489,2.005,2.917,activatedcharcoal,0.7709976
3090,1921,1.548,2.251,2495,2.01,2.924,activatedcharcoal,0.769835841
3091,1924,1.55,2.255,2498,2.013,2.927,activatedcharcoal,0.770413393
3092,1923,1.549,2.254,2487,2.004,2.914,activatedcharcoal,0.773507207
3093,1927,1.553,2.258,2499,2.013,2.929,activatedcharcoal,0.770911574
3094,1926,1.552,2.257,2466,1.987,2.89,activatedcharcoal,0.780968858
3095,1930,1.555,2.262,2499,2.013,2.929,activatedcharcoal,0.772277228
3096,1926,1.552,2.257,2499,2.013,2.929,activatedcharcoal,0.77057016
3097,1925,1.551,2.256,2491,2.007,2.919,activatedcharcoal,0.77286742
3098,1924,1.55,2.255,2490,2.006,2.918,activatedcharcoal,0.772789582
3099,1921,1.548,2.251,2491,2.007,2.919,activatedcharcoal,0.771154505
3100,1927,1.553,2.258,2493,2.009,2.921,activatedcharcoal,0.773022937
3101,1927,1.553,2.258,2489,2.005,2.917,activatedcharcoal,0.774082962
3102,1921,1.548,2.251,2499,2.013,2.929,activatedcharcoal,0.76852168
3103,1921,1.548,2.251,2491,2.007,2.919,activatedcharcoal,0.771154505
3104,1928,1.553,2.259,2499,2.013,2.929,activatedcharcoal,0.771252987
3105,1927,1.553,2.258,2490,2.006,2.918,activatedcharcoal,0.773817683
3106,1923,1.549,2.254,2499,2.013,2.929,activatedcharcoal,0.76954592
3107,1927,1.553,2.258,2495,2.01,2.924,activatedcharcoal,0.772229822
3108,1933,1.557,2.265,2485,2.002,2.912,activatedcharcoal,0.777815934
3109,1929,1.554,2.261,2491,2.007,2.919,activatedcharcoal,0.774580336
3110,1927,1.553,2.258,2493,2.009,2.921,activatedcharcoal,0.773022937
3111,1923,1.549,2.254,2495,2.01,2.924,activatedcharcoal,0.770861833
3112,1929,1.554,2.261,2493,2.009,2.921,activatedcharcoal,0.774049983
3113,1927,1.553,2.258,2501,2.015,2.931,activatedcharcoal,0.770385534
3114,1927,1.553,2.258,2491,2.007,2.919,activatedcharcoal,0.773552587
3115,1927,1.553,2.258,2491,2.007,2.919,activatedcharcoal,0.773552587
3116,1929,1.554,2.261,2495,2.01,2.924,activatedcharcoal,0.773255814
3117,1931,1.556,2.263,2493,2.009,2.921,activatedcharcoal,0.77473468
3118,1935,1.559,2.268,2509,2.021,2.94,activatedcharcoal,0.771428571
3119,1933,1.557,2.265,2497,2.012,2.926,activatedcharcoal,0.774094327
3120,1929,1.554,2.261,2495,2.01,2.924,activatedcharcoal,0.773255814
3121,1935,1.559,2.268,2491,2.007,2.919,activatedcharcoal,0.776978417
3122,1933,1.557,2.265,2492,2.008,2.92,activatedcharcoal,0.775684932
3123,1927,1.553,2.258,2501,2.015,2.931,activatedcharcoal,0.770385534
